timestamp,model,provider,context,iteration,program_id,input_tokens,output_tokens,prompt_tokens,completion_tokens,total_tokens,accepted_prediction_tokens,reasoning_tokens,rejected_prediction_tokens,cached_tokens,cache_creation_input_tokens,cache_read_input_tokens
1766895025.7069714,claude-sonnet-4-5,anthropic,evolution,1,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,2,2512,,,2514,,,,,5322,0
1766895025.7166595,claude-sonnet-4-5,anthropic,evolution,2,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,2,2479,,,2481,,,,,5322,0
1766895028.2036898,claude-sonnet-4-5,anthropic,evolution,3,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,2,2809,,,2811,,,,,5322,0
1766895030.0287042,claude-sonnet-4-5,anthropic,evolution,4,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,2,3003,,,3005,,,,,5322,0
1766895082.879853,claude-sonnet-4-5,anthropic,evolution,5,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,2,2643,,,2645,,,,5322,0,5322
1766895128.705629,claude-sonnet-4-5,anthropic,evolution,6,8377d10a-f308-4f5b-80cf-67df79e98604,2,2774,,,2776,,,,,8838,0
1766895177.7171204,gpt-5-mini,openai,evolution,7,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,11023,1888,11023,1888,12911,0,384,0,,,
1766895247.4703999,claude-sonnet-4-5,anthropic,evolution,8,8377d10a-f308-4f5b-80cf-67df79e98604,2,3288,,,3290,,,,,16511,0
1766895291.7893023,gpt-5-mini,openai,evolution,9,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,22481,3283,22481,3283,25764,0,512,0,,,
1766895396.3925242,claude-sonnet-4-5,anthropic,evolution,10,cea641a6-4c89-4fee-ad33-e08d00509686,2,4306,,,4308,,,,,30836,0
1766895461.457236,claude-sonnet-4-5,anthropic,evolution,11,f4ca2ef0-76dc-4739-a548-abf0a9dd112a,2,3422,,,3424,,,,,29750,0
1766895465.4827404,gpt-5-mini,openai,evolution,13,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,25107,3636,25107,3636,28743,0,384,0,,,
1766895476.7061892,claude-sonnet-4-5,anthropic,evolution,12,8377d10a-f308-4f5b-80cf-67df79e98604,2,3503,,,3505,,,,,29456,0
1766895492.4525654,gpt-5-mini,openai,evolution,14,8377d10a-f308-4f5b-80cf-67df79e98604,26678,2583,26678,2583,29261,0,512,0,,,
1766895542.744037,gpt-5-mini,openai,evolution,15,f4fe09de-ef98-44a5-9ee0-b5ae257033aa,25741,2613,25741,2613,28354,0,640,0,,,
1766895664.0724308,gpt-5-mini,openai,evolution,16,6dfdc450-374a-470a-bd75-558d7248113e,25863,3754,25863,3754,29617,0,512,0,,,
1766895752.8004723,gpt-5-mini,openai,evolution,17,8377d10a-f308-4f5b-80cf-67df79e98604,27125,3367,27125,3367,30492,0,512,0,,,
1766895799.7414956,gpt-5-mini,openai,evolution,18,28e12f1b-0268-480c-8848-b1b0ffc8fe7d,25177,2607,25177,2607,27784,0,512,0,,,
1766895880.5121143,gpt-5-mini,openai,evolution,19,6dfdc450-374a-470a-bd75-558d7248113e,27568,3767,27568,3767,31335,0,768,0,9216,,
1766895935.7058089,claude-sonnet-4-5,anthropic,evolution,20,f4ca2ef0-76dc-4739-a548-abf0a9dd112a,2,4028,,,4030,,,,,32439,0
1766895948.7666938,claude-sonnet-4-5,anthropic,evolution,21,8377d10a-f308-4f5b-80cf-67df79e98604,2,3496,,,3498,,,,,35026,0
1766895951.0171926,gpt-5-mini,openai,evolution,22,c636367f-5acc-42ca-896d-c44b4e0e6734,25822,4808,25822,4808,30630,0,1152,0,,,
1766895990.8060107,gpt-5-mini,openai,evolution,23,cb3b609b-a5e7-4f13-9908-566aedbfb6e3,26896,3024,26896,3024,29920,0,512,0,,,
1766896016.4138663,gpt-5-mini,openai,evolution,24,28e12f1b-0268-480c-8848-b1b0ffc8fe7d,25960,2650,25960,2650,28610,0,512,0,,,
1766896065.7662234,claude-sonnet-4-5,anthropic,evolution,25,28e12f1b-0268-480c-8848-b1b0ffc8fe7d,2,2351,,,2353,,,,,29900,0
1766896097.0558965,gpt-5-mini,openai,evolution,27,8fb9ee29-52f0-407e-a200-be45aeaa8f4f,25422,3775,25422,3775,29197,0,640,0,,,
1766896115.7208092,claude-sonnet-4-5,anthropic,evolution,26,5081237b-ac2c-47dc-862d-fcc6183df58c,2,4065,,,4067,,,,,32907,0
